subject,session,run,electrode,condition,X,Y,Z,X_ref,Y_ref,Z_ref,stim,dX,dY,dZ,deviation_mm,exp,project,network,star_min_angle,star_radius_cv,spoke_min_mm,spoke_max_mm,star_hub_agrees,note,baseline_residual_mm,baseline_condition_used
sub-1116,ses-1,run-01,cathode2,control,-69.39832276,-33.03993519,39.12437724,-71.07638109333487,-51.74103547333285,25.094369993576475,active,1.6780583333348744,18.70110028333285,14.030007246423526,23.43903016150718,P1,P1,a_baseline,105.09,0.0205,55.45,58.05,True,different_montage?+high_residual,60.9,control
sub-1116,ses-1,run-01,cathode3,control,-6.65430304,-32.36536665,88.02700883,-7.573473002709714,-64.9934283288762,82.590868031208,active,0.9191699627097139,32.62806167887621,5.436140798791996,33.09058641253111,P1,P1,a_baseline,105.09,0.0205,55.45,58.05,True,different_montage?+high_residual,60.9,control
sub-1116,ses-1,run-02,anode,control,-42.84092045,-3.82543151,70.19680957,-48.75531745201044,-33.56227559026083,69.60459129494461,active,5.914397002010439,29.73684408026083,0.5922182750553873,30.325083845497332,P1,P1,a_baseline,104.35,0.0195,55.2,57.87,True,different_montage?+high_residual,60.21,control
sub-1116,ses-1,run-02,cathode1,control,-27.43053101,44.63326644,58.24897992,-34.631637697273035,19.31324208454494,65.42684712897878,active,7.201106687273036,25.32002435545506,-7.177867208978782,27.285185514342007,P1,P1,a_baseline,104.35,0.0195,55.2,57.87,True,different_montage?+high_residual,60.21,control
sub-1116,ses-1,run-02,cathode2,control,-69.20051931,-33.41824153,40.05588326,-71.07638109333487,-51.74103547333285,25.094369993576475,active,1.8758617833348694,18.322793943332847,14.961513266423527,23.72952832530344,P1,P1,a_baseline,104.35,0.0195,55.2,57.87,True,different_montage?+high_residual,60.21,control
sub-1116,ses-1,run-02,cathode3,control,-6.2209093,-33.84318366,88.2460445,-7.573473002709714,-64.9934283288762,82.590868031208,active,1.3525637027097144,31.150244668876205,5.655176468791993,31.68829740446648,P1,P1,a_baseline,104.35,0.0195,55.2,57.87,True,different_montage?+high_residual,60.21,control
sub-1116,ses-2,run-01,anode,control,-52.7015942,-32.87853753,65.89201369,-48.75531745201044,-33.56227559026083,69.60459129494461,active,-3.9462767479895646,0.6837380602608292,-3.712577604944613,5.461119883275647,P1,P1,a_baseline,100.49,0.009,57.43,58.55,True,different_montage?+high_residual,48.76,control
sub-1116,ses-2,run-01,cathode1,control,-38.81123135,17.06941668,63.98873797,-34.631637697273035,19.31324208454494,65.42684712897878,active,-4.179593652726965,-2.243825404544939,-1.4381091589787758,4.957006506061439,P1,P1,a_baseline,100.49,0.009,57.43,58.55,True,different_montage?+high_residual,48.76,control
sub-1116,ses-2,run-01,cathode2,control,-70.34192149,-52.40699688,21.24389567,-71.07638109333487,-51.74103547333285,25.094369993576475,active,0.7344596033348694,-0.6659614066671509,-3.8504743235764742,3.976064388389933,P1,P1,a_baseline,100.49,0.009,57.43,58.55,True,different_montage?+high_residual,48.76,control
sub-1116,ses-2,run-01,cathode3,control,-18.65223906,-70.65012801,80.04963432,-7.573473002709714,-64.9934283288762,82.590868031208,active,-11.078766057290284,-5.656699681123797,-2.541233711208008,12.69626627830298,P1,P1,a_baseline,100.49,0.009,57.43,58.55,True,different_montage?+high_residual,48.76,control
