subject,session,run,electrode,condition,X,Y,Z,X_ref,Y_ref,Z_ref,stim,dX,dY,dZ,deviation_mm,exp,project,network,star_min_angle,star_radius_cv,spoke_min_mm,spoke_max_mm,star_hub_agrees,note,baseline_residual_mm,baseline_condition_used
sub-1168,ses-1,run-01,anode,target,71.68150639,-45.77270811,-9.9067862,72.12015864772167,-50.00246337603173,4.5453876283628105,active,-0.43865225772167094,4.229755266031724,-14.452173828362811,15.064812437562653,P1,P1,a_baseline,112.52,0.045,42.88,47.47,True,,,target
sub-1168,ses-1,run-02,anode,target,70.59622396,-45.56079656,-11.32845591,72.12015864772167,-50.00246337603173,4.5453876283628105,active,-1.5239346877216633,4.441666816031727,-15.873843538362811,16.55384214366869,P1,P1,a_baseline,114.01,0.0433,42.22,46.94,True,,,target
sub-1168,ses-2,run-01,anode,target,70.85066949,-53.57458713,2.51191212,72.12015864772167,-50.00246337603173,4.5453876283628105,active,-1.2694891577216652,-3.5721237539682704,-2.0334755083628107,4.3019406642059375,P1,P1,a_baseline,107.96,0.0433,40.68,45.16,True,,,target
sub-1168,ses-2,run-02,anode,target,71.08161116,-53.97381456,2.49093009,72.12015864772167,-50.00246337603173,4.5453876283628105,active,-1.0385474877216723,-3.971351183968274,-2.0544575383628105,4.590316643500205,P1,P1,a_baseline,108.84,0.0392,40.97,45.02,True,,,target
sub-1168,ses-3,run-01,anode,target,68.91730687,-60.3662059,2.94023053,72.12015864772167,-50.00246337603173,4.5453876283628105,active,-3.202851777721662,-10.36374252396827,-1.6051570983628105,10.965488950502277,P1,P1,a_baseline,110.55,0.0573,41.16,47.37,True,rigid_offset?+high_residual,40.46,target
sub-1168,ses-3,run-02,anode,target,69.91810754,-60.77140038,0.90982898,72.12015864772167,-50.00246337603173,4.5453876283628105,active,-2.2020511077216725,-10.768937003968276,-3.6355586483628106,11.577405579927703,P1,P1,a_baseline,109.41,0.062,41.4,48.16,True,rigid_offset?+high_residual,41.32,target
sub-1168,ses-4,run-01,anode,target,71.16144186,-51.89575877,3.10686755,72.12015864772167,-50.00246337603173,4.5453876283628105,active,-0.95871678772167,-1.8932953939682733,-1.4385200783628105,2.563795105645883,P1,P1,a_baseline,110.89,0.0373,42.5,46.4,True,,,target
sub-1168,ses-4,run-02,anode,target,70.46582246,-52.36905928,2.75894756,72.12015864772167,-50.00246337603173,4.5453876283628105,active,-1.6543361877216682,-2.3665959039682747,-1.7864400683628103,3.395434068353706,P1,P1,a_baseline,110.99,0.0348,42.69,46.37,True,,,target
sub-1169,ses-1,run-01,anode,target,75.61424935,-38.38299853,10.4405168,74.46196231290206,-44.13173070801647,-1.1944434778910311,active,1.1522870370979348,5.748732178016468,11.63496027789103,13.028736997058772,P1,P1,a_baseline,90.24,0.523,41.09,114.43,False,different_montage?+high_residual,43.2,target
sub-1169,ses-2,run-01,anode,target,74.6996329,-48.26069158,-6.02549556,74.46196231290206,-44.13173070801647,-1.1944434778910311,active,0.23767058709793787,-4.12896087198353,-4.831052082108969,6.35954946599143,P1,P1,a_baseline,111.57,0.0708,40.71,48.05,True,,,target
