=== Extract Coordinates Log  2026-04-07 09:34:20 ===

[09:34:20] INFO  Script started
[09:34:20] INFO  Base path  : /media/MeMoSLAP_Subjects/derivatives/automated_electrode_extraction
[09:34:20] INFO  Output CSV : /media/Data03/Projects/Automated_Electrode_Extraction/code/03_Extract_Coordinates/Tables/electrode_positions_MeMoSLAP_20260407.csv
[09:34:20] INFO  Log file   : /media/Data03/Projects/Automated_Electrode_Extraction/code/03_Extract_Coordinates/_tmp/log_extract_coordinates_20260407_093420.txt

[09:34:20] INFO  Scanning for NIfTI files under: /media/MeMoSLAP_Subjects/derivatives/automated_electrode_extraction
[09:34:23] INFO  Found 3850 inference file(s). Starting extraction.

[09:36:32] INFO  OK       automated_electrode_extraction sub-025 unzipped  —  4 clusters, coordinates extracted.
[09:36:33] INFO  OK       automated_electrode_extraction sub-025 unzipped  —  4 clusters, coordinates extracted.
[09:36:34] INFO  OK       automated_electrode_extraction sub-025 unzipped  —  4 clusters, coordinates extracted.
[09:36:35] INFO  OK       automated_electrode_extraction sub-025 unzipped  —  4 clusters, coordinates extracted.
[09:36:35] INFO  OK       automated_electrode_extraction sub-025 unzipped  —  4 clusters, coordinates extracted.
[09:36:36] INFO  OK       automated_electrode_extraction sub-025 unzipped  —  4 clusters, coordinates extracted.
[09:36:37] INFO  OK       automated_electrode_extraction sub-025 unzipped  —  4 clusters, coordinates extracted.
[09:36:38] INFO  OK       automated_electrode_extraction sub-025 unzipped  —  4 clusters, coordinates extracted.
[09:36:39] INFO  OK       automated_electrode_extraction sub-026 unzipped  —  4 clusters, coordinates extracted.
[09:36:40] INFO  OK       automated_electrode_extraction sub-026 unzipped  —  4 clusters, coordinates extracted.
[09:36:40] INFO  OK       automated_electrode_extraction sub-026 unzipped  —  4 clusters, coordinates extracted.
[09:36:41] INFO  OK       automated_electrode_extraction sub-026 unzipped  —  4 clusters, coordinates extracted.
[09:36:42] INFO  OK       automated_electrode_extraction sub-026 unzipped  —  4 clusters, coordinates extracted.
[09:36:43] INFO  OK       automated_electrode_extraction sub-026 unzipped  —  4 clusters, coordinates extracted.
[09:36:44] INFO  OK       automated_electrode_extraction sub-026 unzipped  —  4 clusters, coordinates extracted.
[09:36:44] INFO  OK       automated_electrode_extraction sub-026 unzipped  —  4 clusters, coordinates extracted.
[09:36:45] INFO  OK       automated_electrode_extraction sub-028 unzipped  —  4 clusters, coordinates extracted.
[09:36:46] INFO  OK       automated_electrode_extraction sub-028 unzipped  —  4 clusters, coordinates extracted.
[09:36:47] INFO  OK       automated_electrode_extraction sub-028 unzipped  —  4 clusters, coordinates extracted.
[09:36:47] INFO  OK       automated_electrode_extraction sub-028 unzipped  —  4 clusters, coordinates extracted.
[09:36:48] INFO  OK       automated_electrode_extraction sub-028 unzipped  —  4 clusters, coordinates extracted.
[09:36:49] INFO  OK       automated_electrode_extraction sub-028 unzipped  —  4 clusters, coordinates extracted.
[09:36:50] INFO  OK       automated_electrode_extraction sub-029 unzipped  —  4 clusters, coordinates extracted.
[09:36:51] INFO  OK       automated_electrode_extraction sub-029 unzipped  —  4 clusters, coordinates extracted.
[09:36:51] INFO  OK       automated_electrode_extraction sub-029 unzipped  —  4 clusters, coordinates extracted.
[09:36:52] INFO  OK       automated_electrode_extraction sub-029 unzipped  —  4 clusters, coordinates extracted.
[09:36:53] INFO  OK       automated_electrode_extraction sub-029 unzipped  —  4 clusters, coordinates extracted.
[09:36:54] INFO  OK       automated_electrode_extraction sub-029 unzipped  —  4 clusters, coordinates extracted.
[09:36:54] INFO  OK       automated_electrode_extraction sub-029 unzipped  —  4 clusters, coordinates extracted.
[09:36:55] INFO  OK       automated_electrode_extraction sub-029 unzipped  —  4 clusters, coordinates extracted.
[09:36:56] INFO  OK       automated_electrode_extraction sub-030 unzipped  —  4 clusters, coordinates extracted.
[09:36:57] INFO  OK       automated_electrode_extraction sub-030 unzipped  —  4 clusters, coordinates extracted.
[09:36:57] INFO  OK       automated_electrode_extraction sub-030 unzipped  —  4 clusters, coordinates extracted.
[09:36:58] INFO  OK       automated_electrode_extraction sub-030 unzipped  —  4 clusters, coordinates extracted.
[09:36:59] INFO  OK       automated_electrode_extraction sub-030 unzipped  —  4 clusters, coordinates extracted.
[09:37:00] INFO  OK       automated_electrode_extraction sub-030 unzipped  —  4 clusters, coordinates extracted.
[09:37:01] INFO  OK       automated_electrode_extraction sub-030 unzipped  —  4 clusters, coordinates extracted.
[09:37:02] INFO  OK       automated_electrode_extraction sub-030 unzipped  —  4 clusters, coordinates extracted.
[09:37:02] INFO  OK       automated_electrode_extraction sub-031 unzipped  —  4 clusters, coordinates extracted.
[09:37:03] INFO  OK       automated_electrode_extraction sub-031 unzipped  —  4 clusters, coordinates extracted.
[09:37:04] INFO  OK       automated_electrode_extraction sub-031 unzipped  —  4 clusters, coordinates extracted.
[09:37:05] INFO  OK       automated_electrode_extraction sub-031 unzipped  —  4 clusters, coordinates extracted.
[09:37:06] INFO  OK       automated_electrode_extraction sub-031 unzipped  —  4 clusters, coordinates extracted.
[09:37:06] INFO  OK       automated_electrode_extraction sub-031 unzipped  —  4 clusters, coordinates extracted.
[09:37:07] INFO  OK       automated_electrode_extraction sub-031 unzipped  —  4 clusters, coordinates extracted.
[09:37:08] INFO  OK       automated_electrode_extraction sub-031 unzipped  —  4 clusters, coordinates extracted.
[09:37:09] INFO  OK       automated_electrode_extraction sub-032 unzipped  —  4 clusters, coordinates extracted.
[09:37:09] INFO  OK       automated_electrode_extraction sub-032 unzipped  —  4 clusters, coordinates extracted.
[09:37:10] INFO  OK       automated_electrode_extraction sub-032 unzipped  —  4 clusters, coordinates extracted.
[09:37:11] INFO  OK       automated_electrode_extraction sub-032 unzipped  —  4 clusters, coordinates extracted.
[09:37:12] INFO  OK       automated_electrode_extraction sub-032 unzipped  —  4 clusters, coordinates extracted.
[09:37:13] INFO  OK       automated_electrode_extraction sub-032 unzipped  —  4 clusters, coordinates extracted.
[09:37:14] INFO  OK       automated_electrode_extraction sub-032 unzipped  —  4 clusters, coordinates extracted.
[09:37:15] INFO  OK       automated_electrode_extraction sub-032 unzipped  —  4 clusters, coordinates extracted.
[09:37:15] INFO  OK       automated_electrode_extraction sub-033 unzipped  —  4 clusters, coordinates extracted.
[09:37:16] INFO  OK       automated_electrode_extraction sub-033 unzipped  —  4 clusters, coordinates extracted.
[09:37:17] INFO  OK       automated_electrode_extraction sub-033 unzipped  —  4 clusters, coordinates extracted.
[09:37:18] INFO  OK       automated_electrode_extraction sub-033 unzipped  —  4 clusters, coordinates extracted.
[09:37:19] INFO  OK       automated_electrode_extraction sub-033 unzipped  —  4 clusters, coordinates extracted.
[09:37:19] INFO  OK       automated_electrode_extraction sub-033 unzipped  —  4 clusters, coordinates extracted.
[09:37:20] INFO  OK       automated_electrode_extraction sub-033 unzipped  —  4 clusters, coordinates extracted.
[09:37:21] INFO  OK       automated_electrode_extraction sub-033 unzipped  —  4 clusters, coordinates extracted.
[09:37:22] INFO  OK       automated_electrode_extraction sub-034 unzipped  —  4 clusters, coordinates extracted.
[09:37:23] INFO  OK       automated_electrode_extraction sub-034 unzipped  —  4 clusters, coordinates extracted.
[09:37:23] INFO  OK       automated_electrode_extraction sub-034 unzipped  —  4 clusters, coordinates extracted.
[09:37:24] INFO  OK       automated_electrode_extraction sub-034 unzipped  —  4 clusters, coordinates extracted.
[09:37:25] INFO  OK       automated_electrode_extraction sub-034 unzipped  —  4 clusters, coordinates extracted.
[09:37:26] INFO  OK       automated_electrode_extraction sub-034 unzipped  —  4 clusters, coordinates extracted.
[09:37:27] INFO  OK       automated_electrode_extraction sub-034 unzipped  —  4 clusters, coordinates extracted.
[09:37:28] INFO  OK       automated_electrode_extraction sub-034 unzipped  —  4 clusters, coordinates extracted.
[09:37:28] INFO  OK       automated_electrode_extraction sub-035 unzipped  —  4 clusters, coordinates extracted.
[09:37:29] INFO  OK       automated_electrode_extraction sub-035 unzipped  —  4 clusters, coordinates extracted.
[09:37:30] INFO  OK       automated_electrode_extraction sub-035 unzipped  —  4 clusters, coordinates extracted.
[09:37:31] INFO  OK       automated_electrode_extraction sub-035 unzipped  —  4 clusters, coordinates extracted.
[09:37:32] INFO  OK       automated_electrode_extraction sub-035 unzipped  —  4 clusters, coordinates extracted.
[09:37:33] INFO  OK       automated_electrode_extraction sub-035 unzipped  —  4 clusters, coordinates extracted.
[09:37:33] INFO  OK       automated_electrode_extraction sub-035 unzipped  —  4 clusters, coordinates extracted.
[09:37:34] INFO  OK       automated_electrode_extraction sub-035 unzipped  —  4 clusters, coordinates extracted.
[09:37:35] INFO  OK       automated_electrode_extraction sub-036 unzipped  —  4 clusters, coordinates extracted.
[09:37:36] INFO  OK       automated_electrode_extraction sub-036 unzipped  —  4 clusters, coordinates extracted.
[09:37:37] INFO  OK       automated_electrode_extraction sub-036 unzipped  —  4 clusters, coordinates extracted.
[09:37:37] INFO  OK       automated_electrode_extraction sub-036 unzipped  —  4 clusters, coordinates extracted.
