=== Extract Coordinates Log  2026-09-04 08:59:38 ===

[08:59:38] INFO  Script started
[08:59:38] INFO  Network    : reduced  (not in registry)
[08:59:38] INFO  Mask glob  : *_inference_reduced.nii.gz
[08:59:38] INFO  Base path  : /media/MeMoSLAP_Subjects/derivatives/automated_electrode_extraction
[08:59:38] INFO  Output CSV : /media/Data03/Projects/New_repository_07042026/Automated_Electrode_Coordinate_Extraction/code/03_Extract_Coordinates/Tables/electrode_positions_reduced_20260904.csv
[08:59:38] INFO  Log file   : /media/Data03/Projects/New_repository_07042026/Automated_Electrode_Coordinate_Extraction/code/03_Extract_Coordinates/_tmp/log_extract_coordinates_reduced_20260904_085938.txt

[08:59:38] INFO  Distance window : 5-125 mm
[08:59:38] INFO  Star min angle  : not enforced
[08:59:38] INFO  Star max rad CV : not enforced
[08:59:38] INFO  Audit names above: 90 mm

[08:59:38] INFO  Scanning for NIfTI files under: /media/MeMoSLAP_Subjects/derivatives/automated_electrode_extraction
[08:59:41] INFO  Found 4234 inference file(s). Starting extraction.

[09:02:26] INFO  OK       sub-028 ses-4 run-02  —  4 clusters, coordinates extracted.
[09:02:26] INFO  OK       sub-029 ses-1 run-01  —  4 clusters, coordinates extracted.
[09:02:27] INFO  OK       sub-029 ses-1 run-02  —  4 clusters, coordinates extracted.
[09:02:28] INFO  OK       sub-029 ses-2 run-01  —  4 clusters, coordinates extracted.
[09:02:29] INFO  OK       sub-029 ses-2 run-02  —  4 clusters, coordinates extracted.
[09:02:30] INFO  OK       sub-029 ses-3 run-01  —  4 clusters, coordinates extracted.
[09:02:31] INFO  OK       sub-029 ses-3 run-02  —  4 clusters, coordinates extracted.
[09:02:32] INFO  OK       sub-029 ses-4 run-01  —  4 clusters, coordinates extracted.
[09:02:33] INFO  OK       sub-029 ses-4 run-02  —  4 clusters, coordinates extracted.
[09:02:34] INFO  OK       sub-030 ses-1 run-01  —  4 clusters, coordinates extracted.
[09:02:35] INFO  OK       sub-030 ses-1 run-02  —  4 clusters, coordinates extracted.
[09:02:36] INFO  OK       sub-030 ses-2 run-01  —  4 clusters, coordinates extracted.
[09:02:37] INFO  OK       sub-030 ses-2 run-02  —  4 clusters, coordinates extracted.
[09:02:38] INFO  OK       sub-030 ses-3 run-01  —  4 clusters, coordinates extracted.
[09:02:39] INFO  OK       sub-030 ses-3 run-02  —  4 clusters, coordinates extracted.
[09:02:39] INFO  OK       sub-030 ses-4 run-01  —  4 clusters, coordinates extracted.
[09:02:40] INFO  OK       sub-030 ses-4 run-02  —  4 clusters, coordinates extracted.
[09:02:41] INFO  OK       sub-031 ses-1 run-01  —  4 clusters, coordinates extracted.
[09:02:42] INFO  OK       sub-031 ses-1 run-02  —  4 clusters, coordinates extracted.
[09:02:43] INFO  OK       sub-031 ses-2 run-01  —  4 clusters, coordinates extracted.
[09:02:44] INFO  OK       sub-031 ses-2 run-02  —  4 clusters, coordinates extracted.
[09:02:45] INFO  OK       sub-031 ses-3 run-01  —  4 clusters, coordinates extracted.
[09:02:46] INFO  OK       sub-031 ses-3 run-02  —  4 clusters, coordinates extracted.
[09:02:46] INFO  OK       sub-031 ses-4 run-01  —  4 clusters, coordinates extracted.
[09:02:47] INFO  OK       sub-031 ses-4 run-02  —  4 clusters, coordinates extracted.
[09:02:48] INFO  OK       sub-032 ses-1 run-01  —  4 clusters, coordinates extracted.
[09:02:49] INFO  OK       sub-032 ses-1 run-02  —  4 clusters, coordinates extracted.
[09:02:50] INFO  OK       sub-032 ses-2 run-01  —  4 clusters, coordinates extracted.
[09:02:51] INFO  OK       sub-032 ses-2 run-02  —  4 clusters, coordinates extracted.
[09:02:52] INFO  OK       sub-032 ses-3 run-01  —  4 clusters, coordinates extracted.
[09:02:53] INFO  OK       sub-032 ses-3 run-02  —  4 clusters, coordinates extracted.
[09:02:53] INFO  OK       sub-032 ses-4 run-01  —  4 clusters, coordinates extracted.
[09:02:54] INFO  OK       sub-032 ses-4 run-02  —  4 clusters, coordinates extracted.
[09:02:55] INFO  OK       sub-033 ses-1 run-01  —  4 clusters, coordinates extracted.
[09:02:56] INFO  OK       sub-033 ses-1 run-02  —  4 clusters, coordinates extracted.
[09:02:57] INFO  OK       sub-033 ses-2 run-01  —  4 clusters, coordinates extracted.
[09:02:58] INFO  OK       sub-033 ses-2 run-02  —  4 clusters, coordinates extracted.
[09:02:59] INFO  OK       sub-033 ses-3 run-01  —  4 clusters, coordinates extracted.
[09:03:00] INFO  OK       sub-033 ses-3 run-02  —  4 clusters, coordinates extracted.
[09:03:01] INFO  OK       sub-033 ses-4 run-01  —  4 clusters, coordinates extracted.
[09:03:02] INFO  OK       sub-033 ses-4 run-02  —  4 clusters, coordinates extracted.
[09:03:03] INFO  OK       sub-034 ses-1 run-01  —  4 clusters, coordinates extracted.
[09:03:03] INFO  OK       sub-034 ses-1 run-02  —  4 clusters, coordinates extracted.
[09:03:04] INFO  OK       sub-034 ses-2 run-01  —  4 clusters, coordinates extracted.
[09:03:05] INFO  OK       sub-034 ses-2 run-02  —  4 clusters, coordinates extracted.
[09:03:06] INFO  OK       sub-034 ses-3 run-01  —  4 clusters, coordinates extracted.
[09:03:07] INFO  OK       sub-034 ses-3 run-02  —  4 clusters, coordinates extracted.
[09:03:08] INFO  OK       sub-034 ses-4 run-01  —  4 clusters, coordinates extracted.
[09:03:09] INFO  OK       sub-034 ses-4 run-02  —  4 clusters, coordinates extracted.
[09:03:10] INFO  OK       sub-035 ses-1 run-01  —  4 clusters, coordinates extracted.
[09:03:11] INFO  OK       sub-035 ses-1 run-02  —  4 clusters, coordinates extracted.
[09:03:12] INFO  OK       sub-035 ses-2 run-01  —  4 clusters, coordinates extracted.
