subject,session,run,electrode,condition,X,Y,Z,coordinates_xyz,euclidean_norm
sub-005,ses-2,run-01,cathode2,unknown,44.64051002,-16.25026322,83.96209208,"[44.641, -16.250, 83.962]",96.4700943091454
sub-005,ses-2,run-01,cathode3,unknown,68.96656186,11.632708,31.84634595,"[68.967, 11.633, 31.846]",76.84982954157772
sub-005,ses-2,run-02,anode,unknown,54.33959644,14.34335973,66.82954465,"[54.340, 14.343, 66.830]",87.31959543958384
sub-005,ses-2,run-02,cathode1,unknown,28.97145919,42.11917673,69.43595802,"[28.971, 42.119, 69.436]",86.22483842934129
sub-005,ses-2,run-02,cathode2,unknown,45.08657589,-17.14885579,84.4434202,"[45.087, -17.149, 84.443]",97.25005807435137
sub-005,ses-2,run-02,cathode3,unknown,69.64784617,11.0305172,32.50617976,"[69.648, 11.031, 32.506]",77.64757889598948
sub-005,ses-3,run-01,anode,unknown,61.23660931,6.64081954,60.25753176,"[61.237, 6.641, 60.258]",86.16839871876367
sub-005,ses-3,run-01,cathode1,unknown,39.13023863,37.13167895,67.30347198,"[39.130, 37.132, 67.303]",86.25366367551736
sub-005,ses-3,run-01,cathode2,unknown,53.73264427,-26.96945628,75.49361426,"[53.733, -26.969, 75.494]",96.50820911364416
sub-005,ses-3,run-01,cathode3,unknown,73.14522733,4.19917433,21.25432611,"[73.145, 4.199, 21.254]",76.2863272454595
sub-005,ses-3,run-02,anode,unknown,60.70371963,5.49281571,61.34167555,"[60.704, 5.493, 61.342]",86.47493139993311
sub-005,ses-3,run-02,cathode1,unknown,38.35043458,35.53897753,69.2071084,"[38.350, 35.539, 69.207]",86.73752711163752
sub-005,ses-3,run-02,cathode2,unknown,53.21205419,-28.3560615,76.15327747,"[53.212, -28.356, 76.153]",97.13346799293274
sub-005,ses-3,run-02,cathode3,unknown,72.29301012,4.32230708,22.66486629,"[72.293, 4.322, 22.665]",75.88582090646328
sub-005,ses-4,run-01,anode,unknown,55.48739298,7.65514133,67.87860682,"[55.487, 7.655, 67.879]",88.00543865195706
sub-005,ses-4,run-01,cathode1,unknown,29.56428192,33.39273422,76.65944634,"[29.564, 33.393, 76.659]",88.689301368813
sub-005,ses-4,run-01,cathode2,unknown,47.82895477,-29.26801273,81.47364395,"[47.829, -29.268, 81.474]",98.90490453989388
sub-005,ses-4,run-01,cathode3,unknown,69.12541399,10.42050308,34.07356466,"[69.125, 10.421, 34.074]",77.7683582980146
sub-005,ses-4,run-02,anode,unknown,55.83599461,5.85841156,70.33868979,"[55.836, 5.858, 70.339]",89.99728085596887
sub-005,ses-4,run-02,cathode1,unknown,30.12887608,31.07035308,79.4761558,"[30.129, 31.070, 79.476]",90.4962726033826
sub-005,ses-4,run-02,cathode2,unknown,48.07248951,-31.503821,83.53771369,"[48.072, -31.504, 83.538]",101.40021989049883
sub-005,ses-4,run-02,cathode3,unknown,69.32638395,9.11884741,36.67248133,"[69.326, 9.119, 36.672]",78.9567715688077
sub-005,ses-baseline,run-baseline,anode,control,-45.7864962238541,-36.240295746294734,77.03021821477718,"[-45.786, -36.240, 77.030]",96.66135106883259
sub-005,ses-baseline,run-baseline,anode,target,71.18967617578589,-63.64326201175672,4.554108369797411,"[71.190, -63.643, 4.554]",95.59903083480623
sub-005,ses-baseline,run-baseline,cathode1,control,-29.944432391106815,10.993637100966305,79.29930793309289,"[-29.944, 10.994, 79.299]",85.47461217578469
sub-005,ses-baseline,run-baseline,cathode1,target,64.20172017846012,-83.44694865111138,25.860253103546086,"[64.202, -83.447, 25.860]",108.41589737503435
sub-005,ses-baseline,run-baseline,cathode2,control,-71.95382920307463,-47.40919746660846,37.872933223170634,"[-71.954, -47.409, 37.873]",94.12409156183051
sub-005,ses-baseline,run-baseline,cathode2,target,65.91075602307009,-70.00841500114994,-23.368670589026834,"[65.911, -70.008, -23.369]",98.95201208466835
sub-005,ses-baseline,run-baseline,cathode3,control,-12.761398977048877,-70.63472619073299,88.57477502169469,"[-12.761, -70.635, 88.575]",114.00705512394869
sub-005,ses-baseline,run-baseline,cathode3,target,78.02799190667056,-35.51748264073369,12.300768767129695,"[78.028, -35.517, 12.301]",86.60928360392239
sub-006,ses-1,run-01,anode,target,70.04923922,-68.2062245,1.5662476,"[70.049, -68.206, 1.566]",97.78260636426958
