Unnamed: 0,Subject,Session,run,Experiment,Electrode,Rater,Method,Dimension,Coordinates,date
13205.0,sub-062,ses-4,run-01,P3,Cathode3,Kira,manually,Y,-63.0,
19841.0,sub-062,ses-4,run-01,P3,Cathode3,Kira,manually,Z,51.0,
6558.0,sub-062,ses-4,run-01,P3,Anode,Sophie,half-automated,X,-71.54,2023-10-29
13194.0,sub-062,ses-4,run-01,P3,Anode,Sophie,half-automated,Y,-37.95,2023-10-29
19830.0,sub-062,ses-4,run-01,P3,Anode,Sophie,half-automated,Z,22.88,2023-10-29
6562.0,sub-062,ses-4,run-01,P3,Cathode1,Sophie,half-automated,X,-67.33,
13198.0,sub-062,ses-4,run-01,P3,Cathode1,Sophie,half-automated,Y,-0.75,
19834.0,sub-062,ses-4,run-01,P3,Cathode1,Sophie,half-automated,Z,30.26,
6566.0,sub-062,ses-4,run-01,P3,Cathode2,Sophie,half-automated,X,-70.91,
13202.0,sub-062,ses-4,run-01,P3,Cathode2,Sophie,half-automated,Y,-50.36,
19838.0,sub-062,ses-4,run-01,P3,Cathode2,Sophie,half-automated,Z,-13.01,
6570.0,sub-062,ses-4,run-01,P3,Cathode3,Sophie,half-automated,X,-60.21,2023-10-29
13206.0,sub-062,ses-4,run-01,P3,Cathode3,Sophie,half-automated,Y,-60.81,2023-10-29
19842.0,sub-062,ses-4,run-01,P3,Cathode3,Sophie,half-automated,Z,49.38,2023-10-29
6559.0,sub-062,ses-4,run-01,P3,Anode,Sophie,manually,X,-79.0,2023-10-29
13195.0,sub-062,ses-4,run-01,P3,Anode,Sophie,manually,Y,-39.0,2023-10-29
19831.0,sub-062,ses-4,run-01,P3,Anode,Sophie,manually,Z,27.0,2023-10-29
6563.0,sub-062,ses-4,run-01,P3,Cathode1,Sophie,manually,X,-75.0,
13199.0,sub-062,ses-4,run-01,P3,Cathode1,Sophie,manually,Y,-3.0,
19835.0,sub-062,ses-4,run-01,P3,Cathode1,Sophie,manually,Z,35.0,
6567.0,sub-062,ses-4,run-01,P3,Cathode2,Sophie,manually,X,-82.0,
13203.0,sub-062,ses-4,run-01,P3,Cathode2,Sophie,manually,Y,-55.0,
19839.0,sub-062,ses-4,run-01,P3,Cathode2,Sophie,manually,Z,-11.0,
6571.0,sub-062,ses-4,run-01,P3,Cathode3,Sophie,manually,X,-69.0,
13207.0,sub-062,ses-4,run-01,P3,Cathode3,Sophie,manually,Y,-65.0,
19843.0,sub-062,ses-4,run-01,P3,Cathode3,Sophie,manually,Z,54.0,
6572.0,sub-062,ses-4,run-02,P3,Anode,Kira,half-automated,X,-71.51,2023-10-29
13208.0,sub-062,ses-4,run-02,P3,Anode,Kira,half-automated,Y,-40.66,2023-10-29
19844.0,sub-062,ses-4,run-02,P3,Anode,Kira,half-automated,Z,22.93,2023-10-29
6576.0,sub-062,ses-4,run-02,P3,Cathode1,Kira,half-automated,X,-67.3,
13212.0,sub-062,ses-4,run-02,P3,Cathode1,Kira,half-automated,Y,-2.54,
19848.0,sub-062,ses-4,run-02,P3,Cathode1,Kira,half-automated,Z,31.2,
