network,vol_anode_mm3,vol_cathode1_mm3,vol_cathode2_mm3,vol_cathode3_mm3,vol_total_mm3,vol_cv,spoke_min_mm,spoke_max_mm,star_radius_cv,star_min_angle,star_angle_std,star_hub_agrees,subject,session,run,anode,cathode1,cathode2,cathode3
a_baseline,1554.3,1423.7,1573.4,1743.5,6295.0,0.0722,40.11,41.69,0.0158,111.69,3.38,True,sub-011,ses-1,run-02,[48.65877063 29.63156265 57.21635019],[22.34399331 56.43621393 56.11318334],[41.78821598  0.80701937 78.02774466],[64.86247345 25.16552618 24.43803161]
a_baseline,1605.6,1723.7,1354.1,1399.5,6083.0,0.0991,40.81,43.13,0.0232,114.04,1.45,True,sub-011,ses-2,run-01,[51.07017097 26.14026991 58.30151591],[25.5321456  52.58682046 59.42513564],[43.62375635 -5.79575106 79.29007949],[67.02678128 21.36833162 23.81423786]
a_baseline,1543.3,1648.2,1275.6,1401.0,5868.1,0.0962,40.91,42.94,0.0226,113.23,2.01,True,sub-011,ses-2,run-02,[50.35734565 26.13826651 56.03375058],[24.91035038 52.81960947 55.87028822],[42.57251829 -5.26501761 77.3754488 ],[67.22071239 20.96060055 21.55972578]
a_baseline,1450.9,1631.3,1592.4,1392.2,6066.8,0.0649,41.05,43.01,0.019,114.79,1.09,True,sub-011,ses-3,run-01,[52.71884649 32.93410544 50.67224758],[25.1769717  57.35231492 54.36005807],[50.30435381  0.14712577 71.32505428],[65.47810834 28.65750185 15.27168309]
a_baseline,1366.5,1498.6,1638.7,1481.7,5985.4,0.0646,40.77,42.66,0.0202,114.82,0.86,True,sub-011,ses-3,run-02,[52.57242537 32.0949023  51.31881951],[24.96320393 55.90695813 55.81549848],[50.45416792 -0.93419684 71.00990428],[65.39630224 28.60635998 15.38096942]
a_baseline,1470.7,1582.2,1522.8,1293.9,5869.5,0.0734,40.42,42.86,0.0245,114.01,1.89,True,sub-011,ses-4,run-01,[41.13197732 33.3731403  64.82944823],[11.8730645  57.27362348 60.91185979],[35.39573417  0.46324302 84.35254901],[61.26307156 29.58370517 34.6690146 ]
a_baseline,1384.1,1486.1,1410.5,1306.4,5587.1,0.046,40.68,43.25,0.0255,114.03,1.89,True,sub-011,ses-4,run-02,[40.23313378 32.7636534  64.74266053],[11.22650049 56.16230391 60.96099611],[35.08652356 -0.17701358 85.05718395],[60.8154419  28.69399343 34.65017061]
a_baseline,1809.6,1603.4,1706.1,1537.4,6656.6,0.062,35.66,39.46,0.0413,114.06,3.3,True,sub-012,ses-2,run-01,[-71.96373844 -56.52777771  35.56230293],[-70.49045785 -63.40123382   2.29387049],[-73.22599832 -22.1447662   44.80097639],[-58.13070298 -75.52486964  57.54394007]
a_baseline,1826.4,1678.3,1746.5,1543.3,6794.5,0.0612,35.67,39.06,0.0379,114.95,2.56,True,sub-012,ses-2,run-02,[-71.99868486 -56.73039173  35.54423031],[-70.69114304 -63.67512074   1.8720214 ],[-72.90415177 -22.68638311  44.68194945],[-58.09074864 -76.20547661  57.06685994]
a_baseline,1706.1,1754.5,1693.7,1766.3,6920.6,0.0178,40.75,43.14,0.0263,110.82,5.56,True,sub-012,ses-3,run-01,[-70.41392919 -59.69626665  36.26385796],[-71.85022949 -22.70352358  48.20026933],[-68.96248158 -64.44164816  -2.36160506],[-51.97672647 -80.49185827  60.32394978]
a_baseline,1695.9,1780.2,1790.5,1810.3,7076.9,0.0247,40.11,43.45,0.0369,109.8,6.34,True,sub-012,ses-3,run-02,[-70.11174133 -61.26273551  36.35629181],[-68.94682092 -65.66899235  -2.6010598 ],[-70.81062433 -23.96440797  48.32785684],[-51.62845605 -81.41070294  60.05703405]
a_baseline,1648.2,1640.9,1808.8,1468.5,6566.4,0.0733,39.57,43.6,0.0414,115.6,1.46,True,sub-012,ses-4,run-02,[-66.77892245 -45.79558917  55.21143456],[-72.91701627 -59.48164769  19.64301061],[-65.30945546  -6.83329462  60.58249759],[-44.90452941 -65.05519135  75.79606886]
