,Subject,Experiment,Electrode,run,Session,Dimension,Coordinate difference in mm,date
344,sub-004,P3,Anode,run-02,ses-2,Z,6.020131021006964,2023-08-20
345,sub-004,P3,Anode,run-02,ses-3,X,0.8731925522070441,2024-01-28
346,sub-004,P3,Anode,run-02,ses-3,Y,31.934519966542723,2024-01-28
347,sub-004,P3,Anode,run-02,ses-3,Z,6.735170481810346,2024-01-28
348,sub-004,P3,Anode,run-02,ses-4,X,0.2560543655045393,2024-02-04
349,sub-004,P3,Anode,run-02,ses-4,Y,5.370848478227856,2024-02-04
350,sub-004,P3,Anode,run-02,ses-4,Z,2.245426979814656,2024-02-04
354,sub-004,P3,Cathode1,run-01,ses-1,X,6.072473435597487,2023-05-24
355,sub-004,P3,Cathode1,run-01,ses-1,Y,21.00178465798497,2023-05-24
356,sub-004,P3,Cathode1,run-01,ses-1,Z,16.204015808547847,2023-05-24
357,sub-004,P3,Cathode1,run-01,ses-2,X,5.147458940679201,2023-08-20
358,sub-004,P3,Cathode1,run-01,ses-2,Y,21.142180086970328,2023-08-20
359,sub-004,P3,Cathode1,run-01,ses-2,Z,27.071896183788777,2023-08-20
360,sub-004,P3,Cathode1,run-01,ses-3,X,0.8958745515625992,2024-01-28
361,sub-004,P3,Cathode1,run-01,ses-3,Y,1.6104243452846987,2024-01-28
362,sub-004,P3,Cathode1,run-01,ses-3,Z,7.608564402344637,2024-01-28
363,sub-004,P3,Cathode1,run-01,ses-4,X,0.00027198314666065926,2024-02-04
364,sub-004,P3,Cathode1,run-01,ses-4,Y,2.833495790064333,2024-02-04
365,sub-004,P3,Cathode1,run-01,ses-4,Z,3.1699576324503873,2024-02-04
366,sub-004,P3,Cathode1,run-02,ses-1,X,6.071222004648291,2023-05-24
367,sub-004,P3,Cathode1,run-02,ses-1,Y,20.939264019876717,2023-05-24
368,sub-004,P3,Cathode1,run-02,ses-1,Z,17.104625480617397,2023-05-24
369,sub-004,P3,Cathode1,run-02,ses-2,X,5.144956078780808,2023-08-20
370,sub-004,P3,Cathode1,run-02,ses-2,Y,21.01713881075382,2023-08-20
371,sub-004,P3,Cathode1,run-02,ses-2,Z,28.873115527927876,2023-08-20
372,sub-004,P3,Cathode1,run-02,ses-3,X,6.038599751591676,2024-01-28
373,sub-004,P3,Cathode1,run-02,ses-3,Y,22.115168979316948,2024-01-28
374,sub-004,P3,Cathode1,run-02,ses-3,Z,26.235728102172725,2024-01-28
375,sub-004,P3,Cathode1,run-02,ses-4,X,0.8883659658674219,2024-02-04
376,sub-004,P3,Cathode1,run-02,ses-4,Y,1.9855481739342196,2024-02-04
377,sub-004,P3,Cathode1,run-02,ses-4,Z,2.2049063699273397,2024-02-04
381,sub-004,P3,Cathode2,run-01,ses-1,X,7.5623700146842765,2023-05-24
382,sub-004,P3,Cathode2,run-01,ses-1,Y,16.219869734346872,2023-05-24
383,sub-004,P3,Cathode2,run-01,ses-1,Z,52.98863525324501,2023-05-24
384,sub-004,P3,Cathode2,run-01,ses-2,X,2.2669188665039854,2023-08-20
385,sub-004,P3,Cathode2,run-01,ses-2,Y,10.14384099245072,2023-08-20
386,sub-004,P3,Cathode2,run-01,ses-2,Z,35.365396040342745,2023-08-20
387,sub-004,P3,Cathode2,run-01,ses-3,X,6.151887149475513,2024-01-28
388,sub-004,P3,Cathode2,run-01,ses-3,Y,42.312554998695845,2024-01-28
389,sub-004,P3,Cathode2,run-01,ses-3,Z,33.52205785931088,2024-01-28
390,sub-004,P3,Cathode2,run-01,ses-4,X,4.638347282931207,2024-02-04
391,sub-004,P3,Cathode2,run-01,ses-4,Y,22.93013671636581,2024-02-04
392,sub-004,P3,Cathode2,run-01,ses-4,Z,67.44795414417982,2024-02-04
393,sub-004,P3,Cathode2,run-02,ses-1,X,6.685037468401717,2023-05-24
394,sub-004,P3,Cathode2,run-02,ses-1,Y,14.53388708606363,2023-05-24
395,sub-004,P3,Cathode2,run-02,ses-1,Z,51.060471368222494,2023-05-24
396,sub-004,P3,Cathode2,run-02,ses-2,X,2.265667435554789,2023-08-20
397,sub-004,P3,Cathode2,run-02,ses-2,Y,10.081320354342466,2023-08-20
398,sub-004,P3,Cathode2,run-02,ses-2,Z,36.266005712412294,2023-08-20
399,sub-004,P3,Cathode2,run-02,ses-3,X,1.373317717881875,2024-01-28
400,sub-004,P3,Cathode2,run-02,ses-3,Y,7.645090048760181,2024-01-28
401,sub-004,P3,Cathode2,run-02,ses-3,Z,45.145157892224375,2024-01-28
402,sub-004,P3,Cathode2,run-02,ses-4,X,4.634592990083618,2024-02-04
403,sub-004,P3,Cathode2,run-02,ses-4,Y,22.742574802041048,2024-02-04
404,sub-004,P3,Cathode2,run-02,ses-4,Z,64.74612512797117,2024-02-04
408,sub-004,P3,Cathode3,run-01,ses-1,X,1.8258131193276483,2023-05-24
409,sub-004,P3,Cathode3,run-01,ses-1,Y,29.035763096362352,2023-05-24
410,sub-004,P3,Cathode3,run-01,ses-1,Z,2.0757429035054518,2023-05-24
411,sub-004,P3,Cathode3,run-01,ses-2,X,1.8446696319431055,2023-08-20
412,sub-004,P3,Cathode3,run-01,ses-2,Y,30.89939507499337,2023-08-20
413,sub-004,P3,Cathode3,run-01,ses-2,Z,2.8513466747151686,2023-08-20
414,sub-004,P3,Cathode3,run-01,ses-3,X,3.9297433565650124,2024-01-28
415,sub-004,P3,Cathode3,run-01,ses-3,Y,31.005321800410748,2024-01-28
416,sub-004,P3,Cathode3,run-01,ses-3,Z,28.14141988755204,2024-01-28
417,sub-004,P3,Cathode3,run-01,ses-4,X,0.6870773067045945,2024-02-04
418,sub-004,P3,Cathode3,run-01,ses-4,Y,7.307298317849636,2024-02-04
419,sub-004,P3,Cathode3,run-01,ses-4,Z,1.7726557296607641,2024-02-04
420,sub-004,P3,Cathode3,run-02,ses-1,X,1.8157591475453216,2023-05-24
