,Subject,Session,run,Experiment,Electrode,Rater,Method,Dimension,Coordinates,date
206,sub-002,ses-3,run-01,P1,Cathode3,Sophie,half-automated,X,-34.64,2023-11-29
207,sub-002,ses-3,run-01,P1,Cathode3,Sophie,manually,X,-45.0,
208,sub-002,ses-3,run-02,P1,Anode,Kira,half-automated,X,-59.46,2023-11-29
209,sub-002,ses-3,run-02,P1,Anode,Kira,manually,X,-68.0,2023-11-29
210,sub-002,ses-3,run-02,P1,Anode,Sophie,half-automated,X,-59.33,2023-11-29
211,sub-002,ses-3,run-02,P1,Anode,Sophie,manually,X,-67.0,2023-11-29
212,sub-002,ses-3,run-02,P1,Cathode1,Kira,half-automated,X,-55.95,
213,sub-002,ses-3,run-02,P1,Cathode1,Kira,manually,X,-63.0,
214,sub-002,ses-3,run-02,P1,Cathode1,Sophie,half-automated,X,-54.97,
215,sub-002,ses-3,run-02,P1,Cathode1,Sophie,manually,X,-65.0,
216,sub-002,ses-3,run-02,P1,Cathode2,Kira,half-automated,X,-66.63,2023-11-29
217,sub-002,ses-3,run-02,P1,Cathode2,Kira,manually,X,-68.0,
218,sub-002,ses-3,run-02,P1,Cathode2,Sophie,half-automated,X,-66.64,
219,sub-002,ses-3,run-02,P1,Cathode2,Sophie,manually,X,-72.0,
220,sub-002,ses-3,run-02,P1,Cathode3,Kira,half-automated,X,-34.79,
221,sub-002,ses-3,run-02,P1,Cathode3,Kira,manually,X,-69.0,2023-11-29
222,sub-002,ses-3,run-02,P1,Cathode3,Sophie,half-automated,X,-34.71,2023-11-29
223,sub-002,ses-3,run-02,P1,Cathode3,Sophie,manually,X,-48.0,
224,sub-003,ses-0,baseline,P3,Anode,Kira,half-automated,X,-65.26,2023-05-17
225,sub-003,ses-0,baseline,P3,Anode,Kira,manually,X,-65.26,2023-05-17
226,sub-003,ses-0,baseline,P3,Anode,Sophie,half-automated,X,-65.26,2023-05-17
227,sub-003,ses-0,baseline,P3,Anode,Sophie,manually,X,-65.26,2023-05-17
228,sub-003,ses-0,baseline,P3,Cathode1,Kira,half-automated,X,-69.33,2023-05-17
229,sub-003,ses-0,baseline,P3,Cathode1,Kira,manually,X,-69.33,2023-05-17
230,sub-003,ses-0,baseline,P3,Cathode1,Sophie,half-automated,X,-69.33,2023-05-17
231,sub-003,ses-0,baseline,P3,Cathode1,Sophie,manually,X,-69.33,2023-05-17
232,sub-003,ses-0,baseline,P3,Cathode2,Kira,half-automated,X,-65.8,2023-05-17
233,sub-003,ses-0,baseline,P3,Cathode2,Kira,manually,X,-65.8,2023-05-17
234,sub-003,ses-0,baseline,P3,Cathode2,Sophie,half-automated,X,-65.8,2023-05-17
235,sub-003,ses-0,baseline,P3,Cathode2,Sophie,manually,X,-65.8,2023-05-17
236,sub-003,ses-0,baseline,P3,Cathode3,Kira,half-automated,X,-45.16,2023-05-17
237,sub-003,ses-0,baseline,P3,Cathode3,Kira,manually,X,-45.16,2023-05-17
238,sub-003,ses-0,baseline,P3,Cathode3,Sophie,half-automated,X,-45.16,2023-05-17
239,sub-003,ses-0,baseline,P3,Cathode3,Sophie,manually,X,-45.16,2023-05-17
240,sub-003,ses-1,run-01,P3,Anode,Kira,half-automated,X,-66.11,2023-06-07
241,sub-003,ses-1,run-01,P3,Anode,Kira,manually,X,-76.0,2023-06-07
242,sub-003,ses-1,run-01,P3,Anode,Sophie,half-automated,X,-66.1,2023-06-07
243,sub-003,ses-1,run-01,P3,Anode,Sophie,manually,X,-76.0,2023-06-07
244,sub-003,ses-1,run-01,P3,Cathode1,Kira,half-automated,X,-68.51,
245,sub-003,ses-1,run-01,P3,Cathode1,Kira,manually,X,-76.0,
246,sub-003,ses-1,run-01,P3,Cathode1,Sophie,half-automated,X,-68.51,
247,sub-003,ses-1,run-01,P3,Cathode1,Sophie,manually,X,-70.0,
248,sub-003,ses-1,run-01,P3,Cathode2,Kira,half-automated,X,-65.84,2023-06-07
249,sub-003,ses-1,run-01,P3,Cathode2,Kira,manually,X,-74.0,
250,sub-003,ses-1,run-01,P3,Cathode2,Sophie,half-automated,X,-65.83,
251,sub-003,ses-1,run-01,P3,Cathode2,Sophie,manually,X,-74.0,
252,sub-003,ses-1,run-01,P3,Cathode3,Kira,half-automated,X,-49.65,
253,sub-003,ses-1,run-01,P3,Cathode3,Kira,manually,X,-60.0,
254,sub-003,ses-1,run-01,P3,Cathode3,Sophie,half-automated,X,-51.44,2023-06-07
255,sub-003,ses-1,run-01,P3,Cathode3,Sophie,manually,X,-60.0,
256,sub-003,ses-1,run-02,P3,Anode,Kira,half-automated,X,-65.14,2023-06-07
257,sub-003,ses-1,run-02,P3,Anode,Kira,manually,X,-77.0,2023-06-07
258,sub-003,ses-1,run-02,P3,Anode,Sophie,half-automated,X,-65.17,2023-06-07
259,sub-003,ses-1,run-02,P3,Anode,Sophie,manually,X,-77.0,2023-06-07
260,sub-003,ses-1,run-02,P3,Cathode1,Kira,half-automated,X,-68.49,
261,sub-003,ses-1,run-02,P3,Cathode1,Kira,manually,X,-77.0,
262,sub-003,ses-1,run-02,P3,Cathode1,Sophie,half-automated,X,-68.47,
263,sub-003,ses-1,run-02,P3,Cathode1,Sophie,manually,X,-71.0,
264,sub-003,ses-1,run-02,P3,Cathode2,Kira,half-automated,X,-64.9,2023-06-07
265,sub-003,ses-1,run-02,P3,Cathode2,Kira,manually,X,-73.0,
266,sub-003,ses-1,run-02,P3,Cathode2,Sophie,half-automated,X,-65.81,
267,sub-003,ses-1,run-02,P3,Cathode2,Sophie,manually,X,-74.0,
268,sub-003,ses-1,run-02,P3,Cathode3,Kira,half-automated,X,-50.51,
269,sub-003,ses-1,run-02,P3,Cathode3,Kira,manually,X,-61.0,
270,sub-003,ses-1,run-02,P3,Cathode3,Sophie,half-automated,X,-50.52,2023-06-07
271,sub-003,ses-1,run-02,P3,Cathode3,Sophie,manually,X,-61.0,
272,sub-003,ses-2,run-01,P3,Anode,Kira,half-automated,X,-66.16,2023-08-23
273,sub-003,ses-2,run-01,P3,Anode,Kira,manually,X,-76.0,2023-08-23
274,sub-003,ses-2,run-01,P3,Anode,Sophie,half-automated,X,-65.28,2023-08-23
275,sub-003,ses-2,run-01,P3,Anode,Sophie,manually,X,-76.0,2023-08-23
276,sub-003,ses-2,run-01,P3,Cathode1,Kira,half-automated,X,-65.9,
277,sub-003,ses-2,run-01,P3,Cathode1,Kira,manually,X,-77.0,
278,sub-003,ses-2,run-01,P3,Cathode1,Sophie,half-automated,X,-65.88,
279,sub-003,ses-2,run-01,P3,Cathode1,Sophie,manually,X,-75.0,
280,sub-003,ses-2,run-01,P3,Cathode2,Kira,half-automated,X,-66.84,2023-08-23
281,sub-003,ses-2,run-01,P3,Cathode2,Kira,manually,X,-77.0,2023-08-23
282,sub-003,ses-2,run-01,P3,Cathode2,Sophie,half-automated,X,-67.75,
283,sub-003,ses-2,run-01,P3,Cathode2,Sophie,manually,X,-77.0,
284,sub-003,ses-2,run-01,P3,Cathode3,Kira,half-automated,X,-47.88,
285,sub-003,ses-2,run-01,P3,Cathode3,Kira,manually,X,-55.0,
286,sub-003,ses-2,run-01,P3,Cathode3,Sophie,half-automated,X,-47.91,2023-08-23
287,sub-003,ses-2,run-01,P3,Cathode3,Sophie,manually,X,-57.0,
288,sub-003,ses-2,run-02,P3,Anode,Kira,half-automated,X,-65.28,2023-08-23
289,sub-003,ses-2,run-02,P3,Anode,Kira,manually,X,-75.0,2023-08-23
290,sub-003,ses-2,run-02,P3,Anode,Sophie,half-automated,X,-65.26,2023-08-23
291,sub-003,ses-2,run-02,P3,Anode,Sophie,manually,X,-75.0,2023-08-23
292,sub-003,ses-2,run-02,P3,Cathode1,Kira,half-automated,X,-65.9,
293,sub-003,ses-2,run-02,P3,Cathode1,Kira,manually,X,-72.0,
294,sub-003,ses-2,run-02,P3,Cathode1,Sophie,half-automated,X,-66.76,
295,sub-003,ses-2,run-02,P3,Cathode1,Sophie,manually,X,-74.0,
296,sub-003,ses-2,run-02,P3,Cathode2,Kira,half-automated,X,-67.76,2023-08-23
297,sub-003,ses-2,run-02,P3,Cathode2,Kira,manually,X,-73.0,
298,sub-003,ses-2,run-02,P3,Cathode2,Sophie,half-automated,X,-66.82,
299,sub-003,ses-2,run-02,P3,Cathode2,Sophie,manually,X,-77.0,
300,sub-003,ses-2,run-02,P3,Cathode3,Kira,half-automated,X,-46.98,
301,sub-003,ses-2,run-02,P3,Cathode3,Kira,manually,X,-55.0,
302,sub-003,ses-2,run-02,P3,Cathode3,Sophie,half-automated,X,-48.81,2023-08-23
303,sub-003,ses-2,run-02,P3,Cathode3,Sophie,manually,X,-55.0,
304,sub-003,ses-3,run-01,P3,Anode,Kira,half-automated,X,-64.36,2023-10-25
305,sub-003,ses-3,run-01,P3,Anode,Kira,manually,X,-76.0,2023-10-25
306,sub-003,ses-3,run-01,P3,Anode,Sophie,half-automated,X,-64.36,2023-10-25
307,sub-003,ses-3,run-01,P3,Anode,Sophie,manually,X,-76.0,2023-10-25
308,sub-003,ses-3,run-01,P3,Cathode1,Kira,half-automated,X,-66.72,
309,sub-003,ses-3,run-01,P3,Cathode1,Kira,manually,X,-76.0,
310,sub-003,ses-3,run-01,P3,Cathode1,Sophie,half-automated,X,-66.74,
311,sub-003,ses-3,run-01,P3,Cathode1,Sophie,manually,X,-76.0,
312,sub-003,ses-3,run-01,P3,Cathode2,Kira,half-automated,X,-65.89,2023-10-25
313,sub-003,ses-3,run-01,P3,Cathode2,Kira,manually,X,-69.0,
314,sub-003,ses-3,run-01,P3,Cathode2,Sophie,half-automated,X,-66.79,
315,sub-003,ses-3,run-01,P3,Cathode2,Sophie,manually,X,-69.0,
