subject,session,run,anode_mni,cathode1_mni,cathode2_mni,cathode3_mni
sub-046,ses-4,run-02,[40.03152514 39.59523146 70.44238405],[ 55.43982822 -23.14553971  75.99826995],[62.10175282 11.2055779  58.19230006],[69.58545481  7.40760324 22.04342901]
sub-046,ses-2,run-01,[43.40252064 47.8390977  58.79106146],[ 63.01328049 -15.22757841  62.11887282],[65.02224836 19.08297143 43.39980236],[72.82761042  1.07255221  6.7674491 ]
sub-046,ses-2,run-02,[41.92003113 47.11860414 58.08606324],[ 63.56571589 -15.77629938  60.19315005],[63.81586647 18.7736869  41.72018793],[71.05021138  1.7807839   5.59550279]
sub-046,ses-3,run-01,[40.06889768 40.34056718 69.74622834],[ 57.1370101  -21.66550403  73.02340766],[62.08751554 14.23168188 56.59322388],[68.9412963  11.85379399 17.7277539 ]
sub-046,ses-3,run-02,[41.46931271 38.41546479 70.85382033],[ 58.03419848 -23.35978692  73.06923031],[63.0745667  12.62690077 56.86815613],[68.77051423 11.46327493 17.95564407]
sub-007,ses-4,run-01,[-62.55556673 -36.16855301  57.21784007],[-62.97793255 -56.49865013  25.47659433],[-61.62055123   3.310047    54.72834754],[-40.25590895 -49.6187126   82.35338033]
sub-007,ses-4,run-02,[-62.80336157 -36.82013591  57.96288023],[-63.05430631 -56.77136344  26.01834347],[-61.61099603   2.87282228  56.47549186],[-40.38498426 -50.79510195  82.76797737]
sub-007,ses-2,run-01,[-62.96853008 -41.61136787  52.44092334],[-63.00639616  -1.82102962  51.83481882],[-62.18450512 -59.17655621  18.99804152],[-42.56801475 -58.38451916  77.8404045 ]
sub-007,ses-2,run-02,[-63.02575721 -42.37878214  53.10127596],[-62.84643636  -2.48599098  52.78168931],[-62.09724209 -59.89889355  19.04578642],[-43.19580719 -59.54497123  78.47350926]
sub-007,ses-1,run-01,[-64.24510385 -51.85144661  34.23850442],[-60.74022725 -32.61456386  61.8953535 ],[-61.5164856    0.93549746  54.96258226],[-41.30448474 -42.90382273  86.1041936 ]
sub-007,ses-1,run-02,[-64.33612804 -52.47404199  34.58370797],[-60.95915251 -33.27440083  62.54970139],[-61.71174857  -0.20014117  55.60206258],[-41.28483294 -43.22007796  86.98002186]
sub-007,ses-3,run-01,[-66.00240418 -55.25789814  27.32532271],[-62.75239476 -44.79229557  62.52545551],[-64.36573758 -43.43224446  53.49067208],[-64.44598842  -0.15748     53.8182293 ]
sub-014,ses-4,run-01,[-77.10939026 -16.67325942  46.64379618],[-75.64465084 -56.60296796  42.98296215],[-72.64197592 -70.33535103   7.18431819],[-55.14053236 -70.33922017  68.68531819]
sub-014,ses-4,run-02,[-76.63606633 -16.96090624  46.58024272],[-75.52074193 -57.02589013  43.01631546],[-73.11071138 -70.91779539   6.86371009],[-55.47158834 -70.48195063  68.30743967]
